video_id,title,published_at,duration_sec,views,likes,comments,tags,category_id,definition,has_captions
RSlqWnP-Dy8,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01 00:50:38+00:00,577,1510537,19000,2048,"Data Analyst,How to become a data analyst,Data Analyst job,Data Analytics,SQL Basics,Basics of SQL,SQL for Beginners,SQL Basics for Beginners,SQL for Data Analysts,sql tutorial,sql tutorial for beginnners,sql for data analysts,sql for data analyst,sql beginner tutorial,SQL Server management studio,SQL Server Management studio tutorial,SQL Create table,SQL Create table tutorial,SQL Insert into,SQL insert into tutorial,Sql basics for Data Analysts",27,hd,False
9o9loJpG-t4,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26 15:11:22+00:00,454,26160,854,161,"Data Analyst,How to become a data analyst,Data Analyst job,Data Analyst Career,Data Analytics,Data Analyst Salary,Data Analyst Salary 2020,Data Analyst Fact Check,Data Analyst Fact Checking,The Career Force,Data Analyst The Career Force",27,hd,False
Lacbh0VoT3g,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24 16:34:51+00:00,1070,28067,567,41,"Data Analyst,How to become a data analyst,Data Analyst job,Data Analyst Career,Data Analytics,Data Analyst with no experience,Data analyst with no degree,Data Analyst Resume,Complete guide to Creating a Data Analyst Resume,Data Analyst Resume Tips,Data Analyst Resume Templates,Data Analyst Resume Examples,Data Analyst Resume Guide,Creating a Resume,Resume for Data Analyst,Resume for Data Analysts,Resume to become Data Analyst,Resume for Data Analytics,Resume",27,hd,False
oZKs2xMbXQE,Data Analyst Salary in 2020,2020-02-19 15:43:59+00:00,224,8378,160,26,"Data Analyst,How to become a data analyst,Data Analyst job,Data Analyst Career,Data Analytics,Data Analyst with no experience,Data analyst with no degree,Data analyst salary,Data analyst salary with no experience,Data analyst salary 2020,Data analyst salary in 2020,Data analyst Salary with no degree,Salary for Data Analyst,Salary for Data Analyst in 2020,Data Analyst Salary America,Data Analyst Salary USA,Data Analyst salary in usa",27,hd,False
N8f7NtDpbxA,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14 18:03:34+00:00,360,15486,659,39,"Data Analyst,How to become a data analyst,Data Analyst Jobs,Data Analyst Job,Working with a Recruiter,Working with a LinkedIn Recruiter,Using Recruiter to get Job,How to work with a recruiter,Data Analyst Recruiter,Data Analyst Skills,Linkedin Recruiter",27,hd,False
wcKzdRVsMOw,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11 15:03:18+00:00,251,51582,1845,253,"Data Analyst,How to become a data analyst,Data Analyst job,Data Analyst Career,Data Analytics,Data Analyst with no experience,Switching Careers to Become a Data Analyst,Becoming a Data Analyst with No Experience,How I became a Data Analyst,Switch Careers to Data Analyst,Data Analyst from different Career,How to Become Data Analyst from Different Job,Entry Level Data Analyst,Junior Data Analyst Jobs,Career Change to Data Analyst",27,hd,False
Ns-8Jsa3mEM,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06 16:00:52+00:00,678,128943,3629,105,"Data Analyst,How to become a data analyst,Data Analyst job,Data Analyst Career,Data Analytics,Data Analyst with no experience,Data analyst with no degree,Data Analyst Resume,Complete guide to Creating a Data Analyst Resume,Data Analyst Resume Tips,Data Analyst Resume Templates,Data Analyst Resume Examples,Data Analyst Resume Guide,Creating a Resume,Resume for Data Analyst,Resume for Data Analysts,Resume to become Data Analyst,Resume for Data Analytics,Resume",27,hd,False
4rfr6A3lO-Y,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30 14:07:55+00:00,453,87565,1832,63,"Data Analyst,How to become a data analyst,Data Analyst job,Data Analyst Career,Data Analytics,Data Analyst with no experience,Data analyst with no degree,Data Analyst Resume,My Data Analyst Resume,Fortune 500 Data Analyst Resume,Resume,Business Analyst Resume,Data Science Resume,Data Analyst for Beginners,Data Analyst for Beginners Resume",27,hd,False
OTq2NRy_AGs,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25 16:38:39+00:00,350,16433,443,23,"Data Analyst,How to become a Data Analyst,Big vs Small,Large vs small,Big vs small company,Working at a big company vs small company,Working at a big company,Working at a small company,Data Science,Data Scientist,business analyst,Big company salary,Small company salary,Corporate at big company,Corporate at small company,coworkers at small company,coworkers at big company",22,hd,False
ya28cb3zFGE,Data Analyst Salary | 100k with No Experience,2020-01-23 03:16:09+00:00,303,66854,2256,217,"Data Analyst Salary,Data analyst with no experience,how to become a data analyst,Data analyst,Data Analyst fortune 500,Data Analyst how to,Data analyst beginner,Data Analyst Salary | 100k with No Experience,100k with no experience,data science,data scientist,business analyst,Data analyst salary with no experience,data analyst salary with no degree",22,hd,False
Hsi2BG0SOiQ,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21 03:52:15+00:00,345,10374,373,22,"Working at a big company,Big company data analyst,Data analyst,Data analyst at big company,Become a data analyst,Data analyst with no experience,how to learn to become a data analyst",22,hd,False
6lQzbk6_OTw,Top 3 Data Analyst Skills in 2020,2020-01-17 14:31:39+00:00,160,32896,1538,144,"Top skills for data analyst,Top 3 skills for Data Analyst,How to become a data analyst,Data analyst,Data Analyst Skills,Top Data Analyst Skills,Data Analyst Skills for beginner,Skills to become data analyst",22,hd,False
